ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Number,Database,Abbreviation,Note
Aka,Aka,akha1245,Akha,ahk,Eurasia,21.2309,100.964,Sino-Tibetan,1,aka,aka,
Miji,Miji,miji1239,Miji,,,,,Sino-Tibetan,2,aka,mji,
Bodo,Bodo,bodo1269,Bodo-Mech,brx,Eurasia,26.1,92.0,Sino-Tibetan,3,bodo,bod,
Dimasa,Dimasa,dima1251,Dimasa,dis,Eurasia,25.4198,93.1806,Sino-Tibetan,4,bodo,dim,
Garo,Garo,garo1247,Garo,grt,Eurasia,25.2954,90.462,Sino-Tibetan,5,bodo,gar,
Rabha,Rabha,rabh1238,Rabha,rah,Eurasia,25.8248,91.1689,Sino-Tibetan,6,bodo,rab,
Burmese,Burmese,nucl1310,Burmese,mya,Eurasia,20.7926,93.9665,Sino-Tibetan,7,bur,wrb,
LangsuMaru,Langsu-Maru,maru1249,Maru,mhx,Eurasia,24.942535,99.8338,Sino-Tibetan,8,bur,lan,
Achang,Achang,acha1249,Longchuan Achang,acn,Eurasia,24.3479,97.7438,Sino-Tibetan,10,bur,acq,
Bola,Bola,pela1242,Pela,bxd,Eurasia,24.2142,97.9183,Sino-Tibetan,12,bur,bol,
Leqi,Leqi,lash1243,Lashi,lsi,Eurasia,26.0992,98.5481,Sino-Tibetan,13,bur,leq,
LijiangNaxi,Lijiang-Naxi,lich1241,Lichiang,,Eurasia,,,Sino-Tibetan,14,bur,lij,"Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245"
NinglangNaxi,Ninglang-Naxi,naxi1245,Naxi,nxq,Eurasia,27.5,100.0,Sino-Tibetan,15,bur,nin,"belong to western Naxi, no glottolog entry so I use naxi1245."
Jinuo,Jinuo,youl1235,Youle Jinuo,jiu,Eurasia,22.0473,101.057,Sino-Tibetan,16,bur,jin,(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Chepang,Chepang,chep1245,Chepang,cdm,Eurasia,27.7206,84.9017,Sino-Tibetan,17,che,chp,
Lushai,Lushai,lush1249,Mizo,lus,Eurasia,22.6138,92.6247,Sino-Tibetan,18,chin,lsh,
Haka,Haka,haka1240,Haka Chin,cnh,Eurasia,22.8735,92.8208,Sino-Tibetan,19,chin,hkq,
Hmar,Hmar,hmar1241,Hmar,hmr,Eurasia,24.7534,93.5497,Sino-Tibetan,20,chin,hma,
Gangte,Gangte,gang1266,Gangte,gnb,Eurasia,24.5113,94.1681,Sino-Tibetan,21,chin,gan,
Tiddim,Tiddim,,,,,,,,22,chin,tid,
Dhimal,Dhimal,dhim1246,Dhimal,dhi,Eurasia,26.6283,88.3798,Sino-Tibetan,23,dhim,dhi,
Gurung,Gurung,guru1261,Gurung,gvr,Eurasia,27.41687,86.28988,Sino-Tibetan,24,gur,gur,
Tamang,Tamang,nucl1729,Nuclear Tamang,,,,,Sino-Tibetan,25,gur,tmn,
Thakali,Thakali,thak1245,Thakali,ths,Eurasia,28.7014,83.6466,Sino-Tibetan,26,gur,thk,
Taraon,Taraon,tara1313,Tarao,tro,Eurasia,24.4003,94.1703,Sino-Tibetan,27,idu,trn,
Idu,Idu,idum1241,Idu,clk,Eurasia,29.4473,95.6472,Sino-Tibetan,28,idu,idu,
Jiarug,Jiarug,,,,,,,,29,jar,jia,
Jingpo,Jingpo,kach1280,Southern Jinghpaw,kac,Eurasia,25.4634,97.3278,Sino-Tibetan,30,jnp,jnp,Jinghpaw
PaO,Pa'O,paok1235,Pa'o Karen,blk,Eurasia,20.211,97.5969,Sino-Tibetan,32,kar,pao,
Geba,Geba,geba1237,Geba Karen,kvq,Eurasia,19.4991,96.9492,Sino-Tibetan,33,kar,geb,
KayanPekon,Kayan-Pekon,kaya1317,Kayah,,,,,Sino-Tibetan,34,kar,kpq,
Yeinbaw,Yeinbaw,yinb1236,Yinbaw Karen,kvu,Eurasia,19.0383,97.2134,Sino-Tibetan,35,kar,yei,Yinbaw Karen
Padaung,Padaung,,,,,,,,36,kar,pdn,
Geker,Geker,geko1235,Geko Karen,ghk,Eurasia,19.6741,96.5308,Sino-Tibetan,37,kar,gek,Geko Karen?
Manu,Manu,manu1255,Manumanaw Karen,kxf,Eurasia,19.165,96.9531,Sino-Tibetan,38,kar,mnu,Manumanaw Karen
Wkayah,W. Kayah,west2409,Western Kayah,kyu,Eurasia,18.687,97.4877,Sino-Tibetan,39,kar,kyh,Kayah Western
Yintale,Yintale,yint1235,Yintale Karen,kvy,Eurasia,18.9378,97.3368,Sino-Tibetan,40,kar,yin,Yintale Karen
Sgaw,Sgaw,sgaw1245,S'gaw Karen,ksw,Eurasia,17.9872,97.7126,Sino-Tibetan,41,kar,sgo,
Kelun,Kelun,,,,,,,,42,kar,klq,
Palaichi,Palaichi,,,,,,,,43,kar,plc,
Kaike,Kaike,kaik1246,Kaike,kzq,Eurasia,28.853,83.1384,Sino-Tibetan,44,kay,kay,
Sunwar,Sunwar,sunw1242,Sunwar,suz,Eurasia,27.5201,86.2476,Sino-Tibetan,46,kir,snw,
Kulung,Kulung,kulu1253,Kulung (Nepal),kle,Eurasia,27.1606,87.5717,Sino-Tibetan,47,kir,kul,
Khaling,Khaling,khal1275,Khaling,klr,Eurasia,27.3912,87.5053,Sino-Tibetan,48,kir,kln,
Dumi,Dumi,dumi1241,Dumi,dus,Eurasia,27.45849,86.75699,Sino-Tibetan,49,kir,dum,
Limbu,Limbu,limb1266,Limbu,lif,Eurasia,27.2703,87.8859,Sino-Tibetan,50,kir,lim,
Yamphu,Yamphu,yamp1242,Yamphu,ybi,Eurasia,27.6322,87.0441,Sino-Tibetan,51,kir,yam,
KonyakD,Konyak-D,,,,,,,,52,knyk,knn,
Konyak,Konyak,kony1248,Konyak Naga,nbe,Eurasia,26.6823,95.0598,Sino-Tibetan,53,knyk,knq,
Phom,Phom,phom1236,Phom Naga,nph,Eurasia,26.4715,94.7476,Sino-Tibetan,54,knyk,pho,
Chang,Chang,,,,,,,,55,knyk,cha,
Yogli,Yogli,,,,,,,,56,knyk,yog,
Nocte,Nocte,noct1238,Nocte Naga,njb,Eurasia,27.152,95.3903,Sino-Tibetan,57,knyk,noc,
Wancho,Wancho,wanc1238,Wancho Naga,nnp,Eurasia,26.2581,94.8936,Sino-Tibetan,58,knyk,wan,
Lepcha,Lepcha,lepc1244,Lepcha,lep,Eurasia,27.0869,88.5726,Sino-Tibetan,59,lep,lep,
Magar,Magar,maga1261,Magar,,,,,Sino-Tibetan,60,mag,mgx,
Manipuri,Manipuri,mani1292,Manipuri,mni,Eurasia,24.4409,93.3426,Sino-Tibetan,61,man,mnx,
MijuGeman,Miju-Geman,,,,,,,,62,miju,mij,
Mikir,Mikir,,,,,,,,63,mik,mik,
Motuo-M,Motuo-M,dakp1242,Dakpakha,dka,Eurasia,27.3762,91.8245,Sino-Tibetan,64,mot,mot,"Tawang Monpa, Dakpakha?"
Rengma,Rengma,reng1255,Rengmitca,,Eurasia,21.710864,92.367939,Sino-Tibetan,65,naga,rnq,
Sema,Sema,,,,,,,,66,naga,sem,
Tangkul,Tangkul,tang1336,East-Central Tangkhul Naga,nmf,Eurasia,25.0489,94.3567,Sino-Tibetan,67,naga,tan,
Lhota,Lhota,loth1237,Lotha Naga,njh,Eurasia,26.01396,94.04355,Sino-Tibetan,68,naga,lho,Naga Lotha
Pochuri,Pochuri,poch1243,Pochuri Naga,npo,Eurasia,25.4478,94.1119,Sino-Tibetan,69,naga,poc,
Sangtam,Sangtam,sang1321,Sangtam Naga,nsa,Eurasia,25.8581,94.6279,Sino-Tibetan,70,naga,snq,
Yimchunru,Yimchunrü,yimc1240,Yimchungru Naga,yim,Eurasia,25.7675,94.8087,Sino-Tibetan,71,naga,yim,Naga Yimchungru
AoChungli,Ao-Chungli,chon1286,Chungli,,Eurasia,,,Sino-Tibetan,72,naga,aoc,Naga Ao
AoMongsen,Ao-Mongsen,mong1332,Mongsen,,Eurasia,,,Sino-Tibetan,73,naga,aom,Naga Ao
Mao,Mao,maon1238,Mao Naga,nbi,Eurasia,25.3836,94.0035,Sino-Tibetan,74,naga,mau,
Khezhama,Khezhama,khez1235,Khezha Naga,nkh,Eurasia,25.7078,94.3114,Sino-Tibetan,75,naga,khe,
Chokri,Chokri,chok1243,Chokri Naga,nri,Eurasia,25.5636,94.2887,Sino-Tibetan,76,naga,cho,
AngKhonoma,Ang-Khonoma,,,,,,,,77,naga,khn,
AngKohima,Ang Kohima,,,,,,,,78,naga,khm,
Mzieme,Mzieme,,,,,,,,79,naga,mzi,
Zeme,Zeme,zeme1240,Zeme Naga,nzm,Eurasia,25.3499,93.6463,Sino-Tibetan,80,naga,zem,
Liangmai,Liangmai,lian1251,Liangmai Naga,njn,Eurasia,25.16,93.542,Sino-Tibetan,81,naga,lia,
Maram,Maram,mara1379,Maram Naga,nma,Eurasia,25.4378,94.2205,Sino-Tibetan,82,naga,mrw,
Khoirao,Khoirao,,,,,,,,83,naga,khq,
Kabui,Kabui,,,,,,,,84,naga,kbq,
Rourou,Rourou,nusu1239,Nusu,nuf,Eurasia,26.7292,98.8801,Sino-Tibetan,85,nung,rou,
Nusu,Nusu,nusu1239,Nusu,nuf,Eurasia,26.7292,98.8801,Sino-Tibetan,86,nung,nus,
OldChinese,Old Chinese,oldc1244,Old Chinese,och,Eurasia,36.12,114.32,Sino-Tibetan,87,sino,och,
Beijing,Beijing,mand1415,Mandarin Chinese,cmn,Eurasia,40.0209,116.228,Sino-Tibetan,88,sino,pek,
CHN,CHN,,,,,,,,89,sino,scn,maybe cmn? or Northern Chinese
JianchuanBai,Jianchuan Bai,jian1239,Jianchuan,,Eurasia,26.538056,99.91,Sino-Tibetan,90,sino,bai,
Fuzhou,Fuzhou,mind1253,Min Dong Chinese,cdo,Eurasia,26.0,119.5,Sino-Tibetan,91,sino,fuz,
Hakka,Hakka,hakk1236,Hakka Chinese,hak,Eurasia,25.0,116.0,Sino-Tibetan,92,sino,hkk,
Serdukpen,Serdukpen,sher1257,Sherdukpen,sdp,Eurasia,27.0035,92.5799,Sino-Tibetan,93,sul,ser,
Sulong,Sulong,,,,,,,,94,sul,sul,
Bugun,Bugun,bugu1246,Bugun,bgg,Eurasia,27.1929556,92.4713002,Sino-Tibetan,95,sul,bgn,
Sqiangqin,S-Qiangqin,sout2728,Southern Qiang,qxs,Eurasia,31.5392,103.384,Sino-Tibetan,96,syc,qin,South Qiang?
Nqiang,N-Qiang,nort2722,Northern Qiang,cng,Eurasia,32.2766,103.192,Sino-Tibetan,97,syc,qia,
Muya,Muya,,,,,,,,98,syc,muy,
Pumi1,Pumi1,pumi1242,Pumi,,,,,Sino-Tibetan,99,syc,pmq,
Pumi2,Pumi2,pumi1242,Pumi,,,,,Sino-Tibetan,100,syc,pmi,
Zhaba,Zhaba,zhab1238,Zhaba,zhb,Eurasia,30.7416,100.983,Sino-Tibetan,101,syc,zha,
Quueyu,Quueyu,quey1238,Queyu,qvy,Eurasia,30.3113,100.813,Sino-Tibetan,102,syc,que,
Ergong,Ergong,,,,,,,,103,syc,erg,
Horpa,Horpa,horp1239,Stau-Dgebshes,ero,Eurasia,31.1026,101.72,Sino-Tibetan,104,syc,dao,
Shixing,Shixing,shix1238,Shixing,sxg,Eurasia,28.3895,100.4,Sino-Tibetan,105,syc,shi,
Namuzi,Namuzi,namu1246,Namuyi,nmy,Eurasia,28.5909,101.898,Sino-Tibetan,106,syc,nam,
Guiqiong,Guiqiong,guiq1238,Guiqiong,gqi,Eurasia,30.4803,102.128,Sino-Tibetan,107,syc,gui,
Ersu,Ersu,ersu1241,Ersu,ers,Eurasia,29.2867,102.213,Sino-Tibetan,108,syc,ers,
Lusu,Lüsu,lisu1250,Lisu,lis,Eurasia,26.91,98.94,Sino-Tibetan,109,syc,lus,
Gazhuo,Gazhuo,,,,,,,,110,syc,gaz,
Tujia,Tujia,nort2732,Northern Tujia,tji,Eurasia,29.3016,109.759,Sino-Tibetan,111,tujia,tuj,Northern Tujia [nort2732] & Southern Tujia [sout2739]
Anong,Anong,,,,,,,,112,trun,ano,
Rawang,Rawang,rawa1265,Rawang,raw,Eurasia,27.1027,97.0738,Sino-Tibetan,113,trun,raw,
Dulong,Dulong,drun1238,Drung,duu,Eurasia,28.00792,98.49449,Sino-Tibetan,114,trun,dul,
WrittenTibetan,Written Tibetan,tibe1272,Tibetan,bod,Eurasia,28.3681,90.1872,Sino-Tibetan,115,tib,wrt,
LhasaTibetan,Lhasa Tibetan,tibe1272,Tibetan,bod,Eurasia,28.3681,90.1872,Sino-Tibetan,116,tib,lha,
BatangTibetan,Batang Tibetan,kham1282,Khams Tibetan,khg,Eurasia,31.9313,91.7062,Sino-Tibetan,117,tib,bat,
XiaxeTibetan,Xiaxe Tibetan,amdo1237,Amdo Tibetan,adx,Eurasia,34.5177,100.485,Sino-Tibetan,118,tib,xia,
AlikeTibetan,Alike Tibetan,amdo1237,Amdo Tibetan,adx,Eurasia,34.5177,100.485,Sino-Tibetan,119,tib,ali,
Jirel,Jirel,jire1238,Jirel,jul,Eurasia,27.6931,86.3201,Sino-Tibetan,120,tib,jir,
Sherpa,Sherpa,sher1255,Solu-Khumbu Sherpa,xsr,Eurasia,27.674,86.9994,Sino-Tibetan,121,tib,she,Solu-Khumbu Sherpa
CuonaM,Cuona-M,,,,,,,,122,tib,cuo,
Milang,Milang,,,,,,,,123,tani,mil,
Padam,Padam,pada1257,Padam,,Eurasia,,,Sino-Tibetan,124,tani,pad,
Shaiyang,Shaiyang,,,,,,,,125,tani,sha,
Apatari,Apatari,apat1240,Apatani,apt,Eurasia,27.1933,93.7284,Sino-Tibetan,126,tani,apa,
Gallong,Gallong,,,,,,,,127,tani,glq,
HillMiri,Hill-Miri,nyis1236,Nyishi-Hill Miri,njz,Eurasia,27.278263,93.675529,Sino-Tibetan,128,tani,hil,
Bokar,Bokar,bori1243,Bori-Karko,adi,Eurasia,27.62812,94.3538,Sino-Tibetan,129,tani,bok,
Nishi,Nishi,nisi1238,Nisi (China),yso,Eurasia,23.418,104.85,Sino-Tibetan,130,tani,nis,Nisi?
Tagin,Tagin,tagi1241,Tagin,tgj,Eurasia,27.986064,94.221711,Sino-Tibetan,131,tani,tgq,
UpperBangni,Upper-Bangni,bang1338,Bangni,,Eurasia,,,Sino-Tibetan,132,tani,uba,
